,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-95.18609525711697,-95.18609525711697,260,"[-0.1256103515625, 0.0, 1.4443359375, 4.7109375, 9.296875]",9.638373827371712,1.9276747654743422,2.850337622044206
1,,,,260,"[-0.251220703125, 0.0, 1.318359375, 4.7109375, 9.171875]",9.449417032111754,1.8898834064223506,2.764350118402698
2,,,,1250,"[-0.251220703125, -0.1256103515625, 1.1923828125, 4.5859375, 9.046875]",9.735854932880947,1.9471709865761893,2.894040898179247
3,,,,260,"[-0.376953125, -0.1256103515625, 1.06640625, 4.5859375, 8.921875]",9.51318584624732,1.902637169249464,2.7935597671760792
4,,,,2886,"[-0.251220703125, -0.113037109375, 0.94091796875, 4.5859375, 8.90625]",9.560354657871553,1.9120709315743105,2.8150399914296975
5,,,,260,"[-0.376953125, -0.113037109375, 0.8154296875, 4.5859375, 8.78125]",9.322087625431099,1.8644175250862196,2.705431765457169
6,,,,260,"[-0.50244140625, -0.113037109375, 0.68994140625, 4.5859375, 8.65625]",9.117420182727145,1.8234840365454288,2.6090196569170927
7,,,,260,"[-0.6279296875, -0.113037109375, 0.564453125, 4.5859375, 8.53125]",8.957426828065975,1.791485365613195,2.532132648273348
8,,,,260,"[-0.75341796875, -0.113037109375, 0.438720703125, 4.5859375, 8.40625]",8.95694383557103,1.791388767114206,2.5318984664766835
9,,,,260,"[-0.87890625, -0.113037109375, 0.31298828125, 4.5859375, 8.28125]",9.11654925170079,1.823309850340158,2.608604782316681
10,,,,464,"[-1.0048828125, -0.1004638671875, 0.325439453125, 4.5859375, 8.40625]",8.98199582442933,1.796399164885866,2.544028444949165
11,,,,260,"[-1.130859375, -0.1004638671875, 0.1998291015625, 4.5859375, 8.28125]",9.106708469797535,1.821341693959507,2.6039142952929617
12,,,,260,"[-1.2568359375, -0.1004638671875, 0.07415771484375, 4.5859375, 8.15625]",9.272432827618477,1.8544865655236955,2.682236915119949
13,,,,260,"[-1.3828125, -0.1004638671875, -0.051513671875, 4.5859375, 8.03125]",9.466533913879974,1.893306782775995,2.772209907582262
14,,,,3086,"[-1.2568359375, 0.0251922607421875, -0.0389404296875, 4.5859375, 8.015625]",9.671750851591682,1.9343501703183363,2.8653509605054865
15,,,,260,"[-1.3828125, 0.0251922607421875, -0.16455078125, 4.5859375, 7.890625]",9.914154412776352,1.9828308825552703,2.9728567441452025
16,,,,260,"[-1.5087890625, 0.0251922607421875, -0.290283203125, 4.5859375, 7.765625]",10.150284566883794,2.0300569133767588,3.0750821368611554
17,,,,260,"[-1.634765625, 0.0251922607421875, -0.416015625, 4.5859375, 7.640625]",10.36815726599241,2.073631453198482,3.1673157169384627
18,,,,260,"[-1.7607421875, 0.0251922607421875, -0.54150390625, 4.5859375, 7.515625]",10.557815331283726,2.1115630662567453,3.246040570696051
19,,,,260,"[-1.88671875, 0.0251922607421875, -0.6669921875, 4.5859375, 7.390625]",10.711082721082612,2.1422165442165224,3.308633690191725
20,1.0,-111.68496710788939,-103.43553118250318,2886,"[0.1256103515625, 0.01256561279296875, 1.4443359375, 4.7109375, 9.40625]",10.016369588800755,2.003273917760151,3.0174033663171453
21,,,,2886,"[0.251220703125, 0.0251312255859375, 1.318359375, 4.7109375, 9.390625]",10.063244939787023,2.0126489879574043,3.0376803922763522
22,,,,260,"[0.1256103515625, 0.0251312255859375, 1.1923828125, 4.7109375, 9.265625]",9.80427037692808,1.960854075385616,2.9244527515026055
23,,,,260,"[-5.334615707397461e-05, 0.0251312255859375, 1.06640625, 4.7109375, 9.140625]",9.544611464669822,1.9089222929339644,2.8078824979918555
24,,,,260,"[-0.125732421875, 0.0251312255859375, 0.94091796875, 4.7109375, 9.015625]",9.29850261284238,1.8597005225684762,2.6944301310628127
25,,,,260,"[-0.25146484375, 0.0251312255859375, 0.8154296875, 4.7109375, 8.890625]",9.078216308237408,1.8156432616474816,2.5903052220417875
