,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-28.266991130143698,-28.266991130143698,60,"[-0.1256103515625, 0.0, 2.09375, 6.15625]",6.773445323596782,1.6933613308991955,2.2874963812794293
1,,,,200,"[-0.13818359375, 0.01256561279296875, 1.9677734375, 6.03125]",7.036439343618831,1.7591098359047077,2.452929569322246
2,,,,186,"[-0.1507568359375, 0.01256561279296875, 1.9677734375, 6.01953125]",6.984230849204348,1.746057712301087,2.420585943063631
3,,,,122,"[-0.2763671875, 0.13818359375, 2.09375, 6.01953125]",6.514836783765672,1.628709195941418,2.1184354847538462
4,,,,548,"[-0.1507568359375, 0.1256103515625, 2.21875, 6.03125]",6.431292306438801,1.6078230766097001,2.0623825767144957
5,,,,371,"[-0.1507568359375, 0.251220703125, 2.34375, 6.01953125]",7.470465609613556,1.867616402403389,2.7128767948130013
6,,,,339,"[-0.1507568359375, 0.263671875, 2.34375, 6.14453125]",7.023136268700069,1.7557840671750173,2.4447110371090104
7,,,,576,"[-0.0251007080078125, 0.276123046875, 2.21875, 6.1328125]",6.389737209176223,1.5974343022940558,2.0342300596165632
8,,,,186,"[-0.03765869140625, 0.276123046875, 2.21875, 6.12109375]",6.334763312181131,1.5836908280452828,1.9967040150886572
9,,,,357,"[-0.03765869140625, 0.40185546875, 2.20703125, 6.12109375]",6.628429858805154,1.6571074647012884,2.1935067366580654
10,,,,335,"[-0.03765869140625, 0.414306640625, 2.20703125, 5.99609375]",7.180563426809016,1.795140856702254,2.5409853140373495
11,,,,356,"[-0.03765869140625, 0.5400390625, 2.1953125, 5.984375]",7.614137569092399,1.9035343922730998,2.7956072787457535
12,,,,239,"[-0.05023193359375, 0.66552734375, 2.1953125, 6.109375]",7.537710510730658,1.8844276276826646,2.7517946282483168
13,,,,371,"[-0.05023193359375, 0.791015625, 2.3203125, 6.09765625]",8.556428434742578,2.1391071086856446,3.302325309700951
14,,,,581,"[0.075439453125, 0.8037109375, 2.30859375, 6.0859375]",8.139325551844504,2.034831387961126,3.0852842814998866
15,,,,335,"[0.075439453125, 0.81640625, 2.30859375, 5.9609375]",8.70033577675651,2.1750839441891276,3.374760225755409
16,,,,28,"[-0.05023193359375, 0.8037109375, 2.18359375, 5.97265625]",8.442146634301515,2.110536658575379,3.2439289995346203
17,,,,608,"[0.075439453125, 0.92919921875, 2.171875, 5.984375]",8.227296915304493,2.056824228826123,3.1319717953499495
18,,,,581,"[0.2010498046875, 0.94189453125, 2.16015625, 5.97265625]",7.829803025964185,1.9574507564910462,2.916908453388128
19,,,,283,"[0.2010498046875, 0.92919921875, 2.1484375, 5.984375]",7.689755867645565,1.9224389669113913,2.838525608249121
20,1.0,-25.246121996348585,-26.756556563246143,372,"[0.0, 0.1256103515625, 2.21875, 6.28125]",6.774711694849021,1.6936779237122552,2.2883082674241515
21,,,,123,"[-0.1256103515625, 0.251220703125, 2.34375, 6.29296875]",6.288550721028196,1.572137680257049,1.9649057679092174
22,,,,486,"[-0.113037109375, 0.376953125, 2.34375, 6.28125]",6.760458797300128,1.690114699325032,2.2791617892942293
23,,,,447,"[-0.1004638671875, 0.376953125, 2.46875, 6.28125]",7.226224162735523,1.8065560406838808,2.568514382440764
24,,,,411,"[-0.087890625, 0.364501953125, 2.46875, 6.26953125]",7.174109632865893,1.7935274082164732,2.5370801783731105
25,,,,250,"[-0.087890625, 0.2388916015625, 2.34375, 6.14453125]",6.675924136605079,1.6689810341512699,2.224514015023455
26,,,,24,"[-0.2135009765625, 0.11322021484375, 2.46875, 6.26953125]",6.647901501163464,1.661975375290866,2.2062458475824758
27,,,,611,"[-0.08782958984375, 0.2388916015625, 2.46875, 6.2578125]",6.712566604583659,1.6781416511459148,2.2482861663248315
28,,,,577,"[0.037841796875, 0.25146484375, 2.34375, 6.2578125]",6.337068309975262,1.5842670774938155,1.9982839726885995
29,,,,52,"[-0.08782958984375, 0.25146484375, 2.21875, 6.2578125]",6.693719199649966,1.6734297999124914,2.236074984983385
30,,,,126,"[-0.10040283203125, 0.1258544921875, 2.09375, 6.24609375]",7.209939743140998,1.8024849357852495,2.558716438032953
31,,,,278,"[-0.10040283203125, 0.11328125, 1.9677734375, 6.2578125]",7.93010046779197,1.9825251169479925,2.9721869817517304
32,,,,227,"[-0.11297607421875, 0.2388916015625, 1.841796875, 6.2578125]",8.725430505009383,2.1813576262523457,3.3872687253678677
33,,,,408,"[-0.10040283203125, 0.226318359375, 1.8291015625, 6.26953125]",8.854879538691954,2.2137198846729884,3.4512266611939424
34,,,,295,"[-0.10040283203125, 0.2137451171875, 1.955078125, 6.14453125]",7.680728457526124,1.920182114381531,2.8334242012035107
35,,,,486,"[-0.08782958984375, 0.33935546875, 1.955078125, 6.1328125]",7.694503253664925,1.9236258134162312,2.8412059630206565
36,,,,264,"[-0.08782958984375, 0.2137451171875, 1.955078125, 6.2578125]",8.100805626415417,2.025201406603854,3.064682203541871
37,,,,353,"[-0.08782958984375, 0.33935546875, 1.8291015625, 6.26953125]",8.919275205531708,2.229818801382927,3.482695730226815
38,,,,370,"[-0.08782958984375, 0.465087890625, 1.955078125, 6.14453125]",7.720224782553345,1.9300561956383362,2.8556995413748236
39,,,,378,"[-0.07525634765625, 0.33935546875, 1.8291015625, 6.15625]",8.513870821372866,2.1284677053432164,3.2806706513207127
40,2.0,-90.32451567435395,-47.945876266948744,600,"[0.1256103515625, 0.1256103515625, 1.9677734375, 6.15625]",7.8517448134608365,1.9629362033652091,2.929061849914029
41,,,,454,"[0.13818359375, 0.13818359375, 1.841796875, 6.28125]",9.024806936906334,2.2562017342265834,3.533779287086725
42,,,,592,"[0.263916015625, 0.1507568359375, 1.8544921875, 6.28125]",9.077586676255724,2.269396669063931,3.5591041308592453
43,,,,69,"[0.1383056640625, 0.1507568359375, 1.8671875, 6.40625]",9.31896609141756,2.32974152285439,3.6730774015692953
44,,,,134,"[0.125732421875, 0.0251007080078125, 1.8544921875, 6.53125]",9.550765878586237,2.387691469646559,3.7797820784815412
45,,,,454,"[0.1383056640625, 0.03765869140625, 1.728515625, 6.65625]",10.716074796370613,2.679018699092653,4.279757449200471
46,,,,100,"[0.01264190673828125, 0.163330078125, 1.6025390625, 6.53125]",11.195054010361003,2.798763502590251,4.4696620183899975
47,,,,514,"[0.1383056640625, 0.03765869140625, 1.6025390625, 6.65625]",11.438891723522566,2.8597229308806416,4.56323957807846
48,,,,8,"[0.01264190673828125, -0.0880126953125, 1.58984375, 6.66796875]",11.204070358741255,2.801017589685314,4.4731583609214525
49,,,,192,"[7.551908493041992e-05, -0.0880126953125, 1.6025390625, 6.66796875]",11.129169618988898,2.7822924047472246,4.444027701905278
50,,,,367,"[7.551908493041992e-05, 0.03765869140625, 1.615234375, 6.66796875]",11.344122368142589,2.8360305920356472,4.527109112362103
51,,,,141,"[-0.01248931884765625, -0.0880126953125, 1.6279296875, 6.65625]",10.945569179818328,2.736392294954582,4.371783588817991
52,,,,122,"[-0.13818359375, 0.03765869140625, 1.75390625, 6.65625]",10.405449879623212,2.601362469905803,4.152008703474285
53,,,,163,"[-0.1507568359375, 0.02508544921875, 1.75390625, 6.66796875]",10.412973504832596,2.603243376208149,4.155147720290547
54,,,,211,"[-0.163330078125, 0.03765869140625, 1.75390625, 6.65625]",10.383844962607746,2.5959612406519366,4.142982038846302
55,,,,131,"[-0.1759033203125, -0.0880126953125, 1.7412109375, 6.64453125]",10.17912500778101,2.5447812519452526,4.056504565524993
56,,,,159,"[-0.1884765625, -0.1005859375, 1.728515625, 6.76953125]",10.61876026131667,2.6546900653291674,4.240138245608315
57,,,,107,"[-0.314208984375, 0.0250701904296875, 1.7158203125, 6.76953125]",10.829291757521311,2.7073229393803278,4.3254006309437765
58,,,,535,"[-0.1885986328125, 0.01250457763671875, 1.7158203125, 6.64453125]",10.50490103798068,2.62622525949517,4.193319741373456
59,,,,55,"[-0.314208984375, 0.01250457763671875, 1.703125, 6.51953125]",10.017586146576978,2.5043965366442444,3.9870309452318367
60,3.0,-65.17315930141793,-52.252697025566036,449,"[0.01256561279296875, 0.0, 2.21875, 6.40625]",7.595354733760912,1.898838683440228,2.7848807065191794
61,,,,444,"[0.0251312255859375, 0.0, 2.23046875, 6.53125]",7.750459982426091,1.9376149956065227,2.8726748690754675
62,,,,209,"[0.01256561279296875, 0.01256561279296875, 2.21875, 6.65625]",7.756707111169837,1.9391767777924593,2.87617401714235
63,,,,57,"[-0.11309814453125, 0.01256561279296875, 2.20703125, 6.65625]",7.746764977300983,1.9366912443252458,2.8706038913733076
64,,,,174,"[-0.1256103515625, -7.748603820800781e-07, 2.33203125, 6.78125]",7.629040145179198,1.9072600362947996,2.80409908897587
65,,,,250,"[-0.1256103515625, -0.1256103515625, 2.20703125, 6.65625]",8.020094859394565,2.005023714848641,3.0211951369784478
66,,,,30,"[-0.251220703125, -0.13818359375, 2.1953125, 6.53125]",7.588977569210819,1.8972443923027047,2.7812327785341076
67,,,,589,"[-0.1256103515625, -0.1256103515625, 2.1953125, 6.65625]",7.996782517594556,1.999195629398639,3.008552936735514
68,,,,77,"[-0.251220703125, -0.113037109375, 2.0703125, 6.65625]",8.196752339474681,2.0491880848686703,3.115818219794197
69,,,,39,"[-0.376953125, -0.1256103515625, 2.0703125, 6.78125]",8.489519138192687,2.1223797845481718,3.268231003831543
70,,,,403,"[-0.364501953125, -0.13818359375, 1.9443359375, 6.79296875]",9.247202111806063,2.3118005279515157,3.639503585775442
71,,,,457,"[-0.35205078125, -0.1256103515625, 1.931640625, 6.79296875]",9.354612594153554,2.3386531485383886,3.6896581529105066
72,,,,600,"[-0.2264404296875, 5.334615707397461e-05, 1.8056640625, 6.66796875]",10.002228629725616,2.500557157431404,3.980367860475954
73,,,,56,"[-0.35205078125, 5.334615707397461e-05, 1.79296875, 6.65625]",9.911312782252605,2.477828195563151,3.9407119053658834
74,,,,227,"[-0.364501953125, 0.125732421875, 1.6669921875, 6.65625]",10.754296765655223,2.6885741914138057,4.295220253684837
75,,,,410,"[-0.35205078125, 0.1131591796875, 1.6669921875, 6.53125]",10.308934748807028,2.577233687201757,4.111537994049534
76,,,,292,"[-0.35205078125, 0.1005859375, 1.6796875, 6.53125]",10.226778054733378,2.5566945136833445,4.076788395056492
77,,,,38,"[-0.477783203125, 0.0880126953125, 1.6796875, 6.54296875]",10.065346611354357,2.5163366528385893,4.007687435655311
78,,,,48,"[-0.603515625, 0.075439453125, 1.8056640625, 6.5546875]",9.156898887907847,2.2892247219769617,3.5968842732904847
79,,,,243,"[-0.6162109375, 0.2010498046875, 1.818359375, 6.56640625]",9.100737999894218,2.2751844999735544,3.570166203652118
80,4.0,-63.33930653294352,-54.47001892704153,261,"[0.0, -0.1256103515625, 2.09375, 6.26953125]",7.949008672540268,1.987252168135067,2.982529794806891
81,,,,151,"[-0.01256561279296875, -0.13818359375, 1.9677734375, 6.2578125]",7.745996311716399,1.9364990779290998,2.8701729453129383
82,,,,370,"[-0.01256561279296875, -0.01251983642578125, 2.09375, 6.1328125]",7.166000984170729,1.7915002460426823,2.5321687214766215
83,,,,384,"[7.748603820800781e-07, -0.13818359375, 2.08203125, 6.2578125]",7.991556989837292,1.997889247459323,3.0057140954039756
84,,,,84,"[-0.1256103515625, -0.1256103515625, 2.0703125, 6.3828125]",7.5962340283032805,1.8990585070758201,2.785383448890798
85,,,,4,"[-0.251220703125, -0.251220703125, 1.9443359375, 6.5078125]",8.168287544712326,2.0420718861780816,3.100710263017981
86,,,,94,"[-0.376953125, -0.2386474609375, 1.95703125, 6.6328125]",8.449195961811384,2.112298990452846,3.247553914722956
87,,,,255,"[-0.376953125, -0.3642578125, 1.9443359375, 6.5078125]",7.973782975737242,1.9934457439343105,2.996044198676899
88,,,,359,"[-0.376953125, -0.2386474609375, 1.931640625, 6.6328125]",8.595819203460223,2.148954800865056,3.3222728103759107
89,,,,348,"[-0.376953125, -0.22607421875, 2.056640625, 6.64453125]",7.9434941329402164,1.9858735332350541,2.979515877812229
90,,,,38,"[-0.50244140625, -0.2386474609375, 2.056640625, 6.65625]",7.876423979546866,1.9691059948867164,2.9426909437856263
91,,,,433,"[-0.489990234375, -0.2386474609375, 2.044921875, 6.66796875]",7.988245739050088,1.997061434762522,3.0039142509502472
92,,,,217,"[-0.50244140625, -0.22607421875, 2.056640625, 6.66796875]",7.935193373647646,1.9837983434119115,2.974975232644594
93,,,,150,"[-0.51513671875, -0.2386474609375, 1.9306640625, 6.54296875]",8.214920503054234,2.0537301257635585,3.125433737344236
94,,,,357,"[-0.51513671875, -0.11297607421875, 1.91796875, 6.54296875]",8.461012325560969,2.115253081390242,3.253623363804419
95,,,,577,"[-0.389404296875, -0.10040283203125, 1.7919921875, 6.54296875]",9.347481388752197,2.336870347188049,3.686346177996836
96,,,,171,"[-0.40185546875, -0.11297607421875, 1.91796875, 6.53125]",8.541464402042887,2.135366100510722,3.294723439049603
97,,,,475,"[-0.389404296875, 0.01268768310546875, 1.7919921875, 6.40625]",8.993256215239068,2.248314053809767,3.5185697518451056
98,,,,160,"[-0.40185546875, 0.00012129545211791992, 1.7919921875, 6.28125]",8.51522978755972,2.12880744688993,3.2813638077367213
99,,,,509,"[-0.276123046875, -0.12548828125, 1.779296875, 6.40625]",9.023959592995862,2.2559898982489655,3.533371506550307
100,5.0,-75.12056513243692,-57.91177662794076,160,"[-0.01256561279296875, -0.01256561279296875, 2.09375, 6.15625]",7.188636041925939,1.7971590104814847,2.5458650466574984
101,,,,136,"[-0.0251312255859375, -0.13818359375, 2.09375, 6.14453125]",7.824246797255826,1.9560616993139566,2.913825494541293
102,,,,462,"[-0.01256561279296875, -0.1256103515625, 2.09375, 6.14453125]",7.795410481864808,1.948852620466202,2.8977899738421757
103,,,,88,"[-0.13818359375, -0.113037109375, 2.09375, 6.15625]",7.32883313523719,1.8322082838092975,2.629748423489413
104,,,,219,"[-0.1507568359375, -0.1004638671875, 2.10546875, 6.28125]",7.356450449934742,1.8391126124836854,2.6460832275786657
