,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-65.88514032462868,-65.88514032462868,533,"[0.1256103515625, -0.01256561279296875, 2.08203125, 6.29296875]",7.709951131721771,1.9274877829304427,2.8499163402638823
1,,,,499,"[0.13818359375, 0.11309814453125, 2.20703125, 6.41796875]",7.360172522439337,1.8400431306098342,2.6482800299123133
2,,,,383,"[0.1507568359375, -0.01256561279296875, 2.1953125, 6.4296875]",8.084951396464357,2.021237849116089,3.0561742211535083
3,,,,43,"[0.0251007080078125, -0.0251312255859375, 2.20703125, 6.44140625]",7.785064344243915,1.9462660860609788,2.8920221507323425
4,,,,64,"[-0.1005859375, -0.0251312255859375, 2.20703125, 6.56640625]",7.482642681249348,1.870660670312337,2.7199501551917726
5,,,,137,"[-0.1131591796875, -0.1507568359375, 2.20703125, 6.56640625]",8.144762423974688,2.036190605993672,3.0881842948825162
6,,,,141,"[-0.125732421875, -0.2763671875, 2.21875, 6.5546875]",8.840324485942235,2.2100811214855587,3.444082148466313
7,,,,408,"[-0.1131591796875, -0.288818359375, 2.20703125, 6.56640625]",8.942214233881167,2.2355535584702917,3.4938507897679774
8,,,,117,"[-0.23876953125, -0.1632080078125, 2.21875, 6.56640625]",7.83263802889098,1.958159507222745,2.918480655494328
9,,,,623,"[-0.11309814453125, -0.03753662109375, 2.34375, 6.578125]",7.729335752506597,1.9323339381266493,2.8608218157918857
10,,,,261,"[-0.11309814453125, -0.1632080078125, 2.34375, 6.56640625]",8.429290911958542,2.1073227279896356,3.2373105115253042
11,,,,277,"[-0.11309814453125, -0.17578125, 2.21875, 6.56640625]",8.308634923761911,2.0771587309404778,3.17469685431362
12,,,,157,"[-0.1256103515625, -0.1883544921875, 2.20703125, 6.56640625]",8.319488641739712,2.079872160434928,3.180366418262632
13,,,,463,"[-0.113037109375, -0.17578125, 2.20703125, 6.578125]",8.296140668743266,2.0740351671858166,3.168161159803415
14,,,,598,"[0.01262664794921875, -0.1632080078125, 2.33203125, 6.58984375]",8.859663110712527,2.2149157776781316,3.4535721679608224
15,,,,391,"[0.0251922607421875, -0.288818359375, 2.34375, 6.578125]",9.647926557295527,2.4119816393238818,3.8237399751012364
16,,,,390,"[0.037750244140625, -0.41455078125, 2.35546875, 6.453125]",10.315286101209562,2.5788215253023905,4.1142128658988035
17,,,,305,"[0.037750244140625, -0.41455078125, 2.34375, 6.328125]",10.144079186842127,2.536019796710532,4.041526394181282
18,,,,148,"[0.025177001953125, -0.5400390625, 2.46875, 6.33984375]",10.91521622218218,2.728804055545545,4.359723518477952
19,,,,586,"[0.15087890625, -0.52734375, 2.46875, 6.328125]",11.28375712778029,2.8209392819450727,4.5039373847724
