,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-355.89343223901574,-355.89343223901574,2482,"[0.01256561279296875, 0.1256103515625, 1.6962890625, 4.69921875, 9.421875]",10.413915466389925,2.082783093277985,3.186440436887522
1,,,,561,"[-0.11309814453125, 0.251220703125, 1.6962890625, 4.69921875, 9.40625]",10.945941867740522,2.1891883735481046,3.4028313300357986
2,,,,3028,"[0.01256561279296875, 0.376953125, 1.68359375, 4.57421875, 9.421875]",12.069092676920203,2.4138185353840407,3.8270461785593324
3,,,,648,"[-7.748603820800781e-07, 0.251220703125, 1.5576171875, 4.69921875, 9.4375]",10.832485074776187,2.1664970149552376,3.3575809499081286
4,,,,2933,"[0.1256103515625, 0.263671875, 1.5576171875, 4.6875, 9.453125]",10.796295614153074,2.159259122830615,3.3430476315996414
5,,,,342,"[-5.334615707397461e-05, 0.263671875, 1.5703125, 4.69921875, 9.453125]",10.934821725148005,2.186964345029601,3.398417026155414
6,,,,399,"[-0.125732421875, 0.276123046875, 1.4443359375, 4.82421875, 9.578125]",10.616865432685614,2.1233730865371228,3.270263084330025
7,,,,2629,"[-6.872415542602539e-05, 0.263671875, 1.318359375, 4.69921875, 9.703125]",11.167607868198326,2.233521573639665,3.4899015168917003
8,,,,2539,"[0.1256103515625, 0.1380615234375, 1.3056640625, 4.69921875, 9.828125]",10.709075433407126,2.141815086681425,3.307819733583823
9,,,,2062,"[0.13818359375, 0.12548828125, 1.3056640625, 4.69921875, 9.828125]",10.627024428505862,2.1254048857011725,3.2744167456336344
10,,,,2731,"[0.263916015625, 0.1129150390625, 1.431640625, 4.6875, 9.8125]",10.613196276735549,2.1226392553471096,3.2687619165802264
11,,,,1582,"[0.263916015625, 0.1129150390625, 1.4443359375, 4.67578125, 9.8125]",10.720978016234032,2.144195603246806,3.312644011400781
12,,,,2505,"[0.3896484375, -0.01274871826171875, 1.318359375, 4.6640625, 9.6875]",10.789677996487665,2.157935599297533,3.3403847960219553
13,,,,3074,"[0.51513671875, 0.1129150390625, 1.318359375, 4.7890625, 9.8125]",11.528339408275759,2.305667881655152,3.6279674981371963
14,,,,1212,"[0.50244140625, 0.238525390625, 1.3310546875, 4.7890625, 9.8125]",11.40258432315531,2.280516864631062,3.580332882362984
15,,,,473,"[0.376708984375, 0.2509765625, 1.34375, 4.9140625, 9.828125]",10.931997824684515,2.1863995649369032,3.397295322660528
16,,,,2383,"[0.38916015625, 0.376708984375, 1.2177734375, 4.90234375, 9.84375]",11.742203564973941,2.348440712994788,3.707796007789155
17,,,,1463,"[0.38916015625, 0.3642578125, 1.23046875, 4.90234375, 9.859375]",11.725125490381025,2.345025098076205,3.7014749519509893
18,,,,1102,"[0.376708984375, 0.376708984375, 1.3564453125, 4.77734375, 9.859375]",10.824254984655543,2.1648509969311083,3.3542800995611066
19,,,,1539,"[0.376708984375, 0.376708984375, 1.34375, 4.77734375, 9.984375]",11.260780147392325,2.252156029478465,3.5259847516427945
20,1.0,-375.03950527129825,-365.466468755157,693,"[-0.01256561279296875, -0.1256103515625, 1.5703125, 4.72265625, 9.4375]",10.54076234935438,2.108152469870876,3.2390201755995385
21,,,,1667,"[-0.01256561279296875, -0.113037109375, 1.5576171875, 4.734375, 9.4375]",10.50309374043703,2.100618748087406,3.223472372576794
22,,,,703,"[-0.0251312255859375, -0.2386474609375, 1.5703125, 4.609375, 9.453125]",10.677239102905766,2.1354478205811533,3.294889639573949
23,,,,415,"[-0.1507568359375, -0.22607421875, 1.5576171875, 4.62109375, 9.328125]",10.467709182053923,2.0935418364107847,3.208816440621198
24,,,,2556,"[-0.0251007080078125, -0.351806640625, 1.5576171875, 4.609375, 9.3125]",11.705293593874654,2.3410587187749305,3.6941230687053332
25,,,,2347,"[-0.01253509521484375, -0.33935546875, 1.5703125, 4.734375, 9.3125]",12.216445681071587,2.443289136214317,3.8797486395754572
26,,,,1036,"[-0.0251007080078125, -0.326904296875, 1.5576171875, 4.734375, 9.296875]",12.099954961468065,2.419990992293613,3.838137494496631
27,,,,416,"[-0.1507568359375, -0.314453125, 1.544921875, 4.74609375, 9.28125]",11.60169359019845,2.32033871803969,3.65551386890089
28,,,,1703,"[-0.1507568359375, -0.302001953125, 1.5576171875, 4.62109375, 9.296875]",10.995811383546133,2.199162276709227,3.422572772366789
29,,,,3056,"[-0.0251007080078125, -0.1763916015625, 1.5576171875, 4.609375, 9.28125]",10.62362910419767,2.124725820839534,3.2730289571389433
30,,,,1985,"[-0.01253509521484375, -0.302001953125, 1.68359375, 4.609375, 9.15625]",11.702682879687487,2.340536575937497,3.6931543230546398
31,,,,2279,"[3.129243850708008e-05, -0.28955078125, 1.6708984375, 4.484375, 9.28125]",10.881262373422137,2.1762524746844276,3.3770927797544177
32,,,,958,"[-0.01253509521484375, -0.28955078125, 1.68359375, 4.47265625, 9.296875]",10.744071842663033,2.148814368532607,3.3219889934249243
33,,,,2347,"[3.129243850708008e-05, -0.277099609375, 1.6962890625, 4.59765625, 9.296875]",11.30573557147999,2.2611471142959982,3.543288192442924
34,,,,2018,"[0.01259613037109375, -0.28955078125, 1.5703125, 4.609375, 9.3125]",11.430792149218309,2.286158429843662,3.591063235320231
35,,,,2954,"[0.1383056640625, -0.277099609375, 1.5830078125, 4.484375, 9.4375]",10.899795657175204,2.179959131435041,3.384483517887251
36,,,,2923,"[0.263916015625, -0.2646484375, 1.5703125, 4.609375, 9.453125]",11.798773765274218,2.3597547530548435,3.728668695254029
37,,,,603,"[0.1383056640625, -0.1390380859375, 1.6962890625, 4.484375, 9.46875]",10.475515765775203,2.0951031531550406,3.212054104732751
38,,,,230,"[0.01264190673828125, -0.151611328125, 1.822265625, 4.47265625, 9.34375]",10.27554803651795,2.05510960730359,3.128349895102405
39,,,,2587,"[0.1383056640625, -0.27734375, 1.8349609375, 4.47265625, 9.34375]",11.093077329985187,2.218615465997037,3.4608203613593105
40,2.0,-404.57590172357845,-378.5029464112975,142,"[-0.1256103515625, -0.01256561279296875, 1.4443359375, 4.72265625, 9.421875]",9.861982757419952,1.9723965514839903,2.9499423454416247
41,,,,1327,"[-0.1256103515625, -0.13818359375, 1.45703125, 4.59765625, 9.421875]",10.083832396572582,2.0167664793145166,3.046556143176768
42,,,,637,"[-0.13818359375, -0.263916015625, 1.3310546875, 4.59765625, 9.421875]",10.273079051296172,2.0546158102592345,3.127306256850276
43,,,,2113,"[-0.1256103515625, -0.2763671875, 1.45703125, 4.59765625, 9.4375]",10.489147789795222,2.0978295579590447,3.2177020023274476
