,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
46,,,,832,"[-0.213623046875, -0.402099609375, 1.23046875, 4.5859375, 9.5625]",10.3475803410395,2.0695160682079,3.1586880271403617
47,,,,942,"[-0.2261962890625, -0.402099609375, 1.23046875, 4.59765625, 9.5625]",10.365929669198616,2.0731859338397234,3.1663825357453907
48,,,,1195,"[-0.23876953125, -0.2763671875, 1.23046875, 4.72265625, 9.4375]",10.370037149998446,2.074007429999689,3.1681030788816464
49,,,,333,"[-0.364501953125, -0.2763671875, 1.2431640625, 4.7109375, 9.453125]",9.995083697707482,1.9990167395414964,3.0081643086652257
50,,,,395,"[-0.490234375, -0.263916015625, 1.1171875, 4.8359375, 9.328125]",10.028697112816284,2.0057394225632565,3.0227451059183386
51,,,,2205,"[-0.477783203125, -0.263916015625, 1.1298828125, 4.82421875, 9.203125]",10.202994068899104,2.0405988137798206,3.0975762985678132
52,,,,1330,"[-0.477783203125, -0.3896484375, 1.142578125, 4.8125, 9.078125]",10.996408893028576,2.199281778605715,3.4228087604279382
53,,,,1141,"[-0.490234375, -0.263916015625, 1.0166015625, 4.82421875, 9.0625]",10.148029523066572,2.0296059046133146,3.0741171768295406
54,,,,491,"[-0.61572265625, -0.25146484375, 1.142578125, 4.8359375, 9.046875]",9.951891807102864,1.990378361420573,2.9893564156442034
55,,,,495,"[-0.7412109375, -0.2388916015625, 1.2685546875, 4.9609375, 8.921875]",9.742500099740763,1.9485000199481526,2.8970041457488445
56,,,,2272,"[-0.728515625, -0.226318359375, 1.142578125, 5.0859375, 8.921875]",9.780526185328995,1.956105237065799,2.913922158133046
57,,,,659,"[-0.7412109375, -0.35205078125, 1.1298828125, 5.07421875, 9.046875]",10.34341833024489,2.0686836660489782,3.156940853526545
58,,,,387,"[-0.86669921875, -0.339599609375, 1.00390625, 5.07421875, 9.046875]",9.824585281253412,1.9649170562506826,2.9334422251148977
59,,,,2851,"[-0.7412109375, -0.339599609375, 1.1298828125, 4.94921875, 9.03125]",10.167543978364883,2.0335087956729767,3.0824605522793225
60,3.0,208.4547208749105,320.1241698423579,443,"[-0.1256103515625, 0.01256561279296875, 1.5703125, 4.72265625, 9.4375]",10.077896237089503,2.0155792474179006,3.043998781723753
61,,,,1372,"[-0.1256103515625, -0.11309814453125, 1.6962890625, 4.84765625, 9.4375]",10.621993412873643,2.1243986825747285,3.272360234236656
62,,,,3033,"[5.334615707397461e-05, 0.01256561279296875, 1.68359375, 4.8359375, 9.453125]",10.238816378424444,2.047763275684889,3.1127975015245797
63,,,,3121,"[0.125732421875, 0.13818359375, 1.8095703125, 4.9609375, 9.4375]",10.43258499952261,2.0865169999045223,3.1942192747794595
64,,,,420,"[6.872415542602539e-05, 0.1507568359375, 1.796875, 5.0859375, 9.3125]",10.412660953984863,2.0825321907969725,3.185917232492657
65,,,,960,"[-0.0124969482421875, 0.1507568359375, 1.8095703125, 5.0859375, 9.1875]",10.403403650010016,2.080680730002003,3.1820544501895593
66,,,,992,"[-0.0250701904296875, 0.1507568359375, 1.935546875, 5.09765625, 9.1875]",10.296611474655458,2.059322294931092,3.137243213419021
67,,,,219,"[-0.1507568359375, 0.13818359375, 1.9482421875, 5.109375, 9.3125]",9.878685547270862,1.9757371094541725,2.9572915709933802
68,,,,157,"[-0.2763671875, 0.1256103515625, 1.935546875, 5.09765625, 9.3125]",9.449838617522595,1.8899677235045187,2.764543874411933
69,,,,1424,"[-0.2763671875, 0.113037109375, 1.9228515625, 5.22265625, 9.4375]",9.834033782929321,1.9668067565858642,2.93761691555747
70,,,,2766,"[-0.1507568359375, 0.113037109375, 1.796875, 5.234375, 9.421875]",10.396774427110984,2.079354885422197,3.1792861709842937
71,,,,3049,"[-0.0251007080078125, 0.2386474609375, 1.7841796875, 5.359375, 9.546875]",10.378487357621836,2.075697471524367,3.171640562950291
72,,,,838,"[-0.03765869140625, 0.22607421875, 1.796875, 5.359375, 9.5625]",10.402452933679546,2.0804905867359094,3.181657551504034
73,,,,1221,"[-0.05023193359375, 0.351806640625, 1.8095703125, 5.484375, 9.546875]",9.969564046075154,1.993912809215031,2.997061633514169
74,,,,2587,"[0.075439453125, 0.2261962890625, 1.822265625, 5.484375, 9.546875]",11.033474961413498,2.2066949922826997,3.4374230945407946
75,,,,2162,"[0.0880126953125, 0.2261962890625, 1.8095703125, 5.484375, 9.546875]",11.067540948266998,2.2135081896533997,3.450811331432835
76,,,,1170,"[0.075439453125, 0.351806640625, 1.796875, 5.609375, 9.421875]",10.446745878706519,2.0893491757413036,3.2001102611020698
77,,,,1767,"[0.075439453125, 0.4775390625, 1.6708984375, 5.62109375, 9.421875]",9.774864060764198,1.9549728121528398,2.9114072203157875
78,,,,2951,"[0.2010498046875, 0.489990234375, 1.68359375, 5.49609375, 9.40625]",9.975519957835628,1.9951039915671256,2.9996553750984645
79,,,,756,"[0.1884765625, 0.4775390625, 1.5576171875, 5.484375, 9.390625]",9.82963729880099,1.965927459760198,2.9356748887400057
