,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-321.1917391061472,-321.1917391061472,1355707,"[0.01256561279296875, 0.0, 0.7724609375, 2.3671875, 4.8359375, 7.73046875, 11.796875, 16.484375, 21.984375]",16.70499887006969,1.8561109855632991,2.6860394115903867
1,,,,1172649,"[0.0251312255859375, -0.1256103515625, 0.64697265625, 2.2421875, 4.82421875, 7.71875, 11.671875, 16.609375, 22.109375]",16.9048959063691,1.8783217673743442,2.7376999145786747
2,,,,1592290,"[0.1507568359375, -0.251220703125, 0.63427734375, 2.3671875, 4.82421875, 7.73046875, 11.65625, 16.625, 21.984375]",18.77870149549574,2.086522388388415,3.1942304905318295
3,,,,1489293,"[0.163330078125, -0.1256103515625, 0.5087890625, 2.35546875, 4.82421875, 7.85546875, 11.640625, 16.640625, 22.0]",18.453544419412104,2.050393824379123,3.118372851181949
4,,,,1070240,"[0.163330078125, -0.113037109375, 0.521484375, 2.35546875, 4.82421875, 7.84375, 11.765625, 16.65625, 21.875]",18.719484303108704,2.079942700345412,3.180513708922939
5,,,,313883,"[0.03765869140625, 0.01262664794921875, 0.395751953125, 2.23046875, 4.82421875, 7.83203125, 11.640625, 16.640625, 21.890625]",17.343218338919577,1.9270242598799532,2.8488718215191122
6,,,,1060450,"[0.03765869140625, 0.0251922607421875, 0.395751953125, 2.35546875, 4.8125, 7.84375, 11.65625, 16.515625, 21.765625]",17.75965022681718,1.9732944696463535,2.951918987341654
7,,,,1180538,"[0.05023193359375, -0.1004638671875, 0.27001953125, 2.35546875, 4.82421875, 7.96875, 11.640625, 16.515625, 21.78125]",18.230092126644127,2.0255657918493473,3.065463539491722
8,,,,232480,"[-0.075439453125, -0.1004638671875, 0.395751953125, 2.48046875, 4.8125, 8.09375, 11.765625, 16.5, 21.65625]",16.369527776621833,1.8188364196246483,2.5979364175237
9,,,,1903374,"[0.05023193359375, 0.0251922607421875, 0.38330078125, 2.60546875, 4.6875, 8.078125, 11.890625, 16.625, 21.78125]",19.413781021934334,2.157086780214926,3.3386761724457923
10,,,,1936355,"[0.1759033203125, 0.15087890625, 0.395751953125, 2.73046875, 4.69921875, 7.953125, 12.015625, 16.609375, 21.65625]",21.580517608184834,2.397835289798315,3.798193475749718
11,,,,434439,"[0.163330078125, 0.0252227783203125, 0.395751953125, 2.85546875, 4.57421875, 7.828125, 12.015625, 16.609375, 21.78125]",24.386887893341992,2.7096542103713324,4.32913872383851
12,,,,1725128,"[0.2890625, 0.0252227783203125, 0.27001953125, 2.85546875, 4.44921875, 7.81640625, 11.890625, 16.484375, 21.796875]",27.011946582777387,3.001327398086376,4.773133727746737
13,,,,1203065,"[0.301513671875, -0.1004638671875, 0.257568359375, 2.98046875, 4.57421875, 7.94140625, 11.890625, 16.5, 21.671875]",25.981282271669965,2.8868091412966628,4.604180718538126
14,,,,498477,"[0.2890625, -0.113037109375, 0.2449951171875, 3.10546875, 4.57421875, 7.94140625, 12.015625, 16.375, 21.671875]",26.100588111928303,2.9000653457698116,4.624077837567195
15,,,,1365251,"[0.301513671875, -0.113037109375, 0.2449951171875, 3.09375, 4.69921875, 7.94140625, 11.890625, 16.25, 21.65625]",24.406786857953897,2.711865206439322,4.332680990761299
16,,,,1728944,"[0.42724609375, -0.113037109375, 0.11932373046875, 3.10546875, 4.6875, 7.9296875, 11.890625, 16.265625, 21.78125]",27.26503302489292,3.029448113876991,4.81363518624963
17,,,,1613763,"[0.552734375, -0.2386474609375, 0.1318359375, 3.09375, 4.6875, 7.8046875, 11.765625, 16.265625, 21.796875]",28.51786925120761,3.168652139023068,5.0087456408930455
18,,,,97444,"[0.427001953125, -0.251220703125, 0.1192626953125, 3.08203125, 4.5625, 7.9296875, 11.765625, 16.28125, 21.921875]",27.70309311881553,3.07812145764617,4.882857523846154
19,,,,1391668,"[0.439453125, -0.251220703125, 0.244873046875, 2.95703125, 4.55078125, 7.94140625, 11.75, 16.296875, 21.9375]",25.925424643122806,2.8806027381247565,4.594833691667743
20,1.0,-249.57963451052242,-285.3856868083348,1410987,"[0.01256561279296875, 0.01256561279296875, 0.65966796875, 2.34375, 4.7109375, 7.85546875, 11.90625, 16.5, 21.984375]",16.51652260346478,1.835169178162753,2.636761066021765
21,,,,195845,"[-0.11309814453125, 0.01256561279296875, 0.65966796875, 2.34375, 4.72265625, 7.84375, 11.921875, 16.625, 21.859375]",16.673166205914185,1.8525740228793541,2.6777557000400805
22,,,,1285699,"[-0.10052490234375, -7.748603820800781e-07, 0.65966796875, 2.33203125, 4.72265625, 7.71875, 11.921875, 16.75, 21.984375]",17.373459522883095,1.930384391431455,2.8564379732665413
23,,,,604804,"[-0.11309814453125, -7.748603820800781e-07, 0.67236328125, 2.34375, 4.72265625, 7.73046875, 11.921875, 16.625, 22.109375]",17.44002033666236,1.937780037406929,2.873044775846945
24,,,,1671404,"[0.01256561279296875, -0.01256561279296875, 0.65966796875, 2.46875, 4.84765625, 7.71875, 11.90625, 16.5, 22.234375]",18.131980962044494,2.014664551338277,3.042027449533167
25,,,,1536833,"[0.0251312255859375, 0.11309814453125, 0.67236328125, 2.45703125, 4.859375, 7.84375, 11.921875, 16.484375, 22.25]",17.642341182508712,1.9602601313898569,2.923137071375539
26,,,,1300306,"[0.037689208984375, 0.10052490234375, 0.68505859375, 2.4453125, 4.734375, 7.84375, 11.921875, 16.46875, 22.234375]",17.94050564862488,1.9933895165138757,2.9959216992163853
27,,,,483641,"[0.025115966796875, 0.08795166015625, 0.5595703125, 2.5703125, 4.74609375, 7.96875, 11.796875, 16.484375, 22.21875]",17.369774564500055,1.9299749516111175,2.855516725063929
28,,,,1912347,"[0.1507568359375, 0.213623046875, 0.5595703125, 2.55859375, 4.87109375, 7.98046875, 11.8125, 16.609375, 22.21875]",17.84528399502105,1.9828093327801164,2.9728095439559388
29,,,,1044990,"[0.1507568359375, 0.2261962890625, 0.546875, 2.68359375, 4.859375, 8.109375, 11.9375, 16.625, 22.09375]",18.414814429580534,2.046090492175615,3.109248372859403
30,,,,1791145,"[0.2763671875, 0.2261962890625, 0.67236328125, 2.6953125, 4.734375, 8.234375, 11.8125, 16.75, 21.96875]",18.25750639703344,2.0286118218926044,3.0719895204153715
31,,,,1750386,"[0.402099609375, 0.2261962890625, 0.67236328125, 2.5703125, 4.609375, 8.25, 11.6875, 16.75, 21.953125]",18.415693112004956,2.046188123556106,3.1094555961391324
32,,,,1036431,"[0.402099609375, 0.23876953125, 0.65966796875, 2.55859375, 4.62109375, 8.234375, 11.6875, 16.734375, 21.9375]",18.377533911524136,2.0419482123915706,3.1004472337391924
33,,,,1007946,"[0.402099609375, 0.23876953125, 0.78515625, 2.55859375, 4.62109375, 8.25, 11.6875, 16.859375, 21.921875]",17.64752128668499,1.9608356985205544,2.9244120498074118
34,,,,1316498,"[0.41455078125, 0.2261962890625, 0.91064453125, 2.546875, 4.609375, 8.234375, 11.8125, 16.984375, 21.9375]",18.067366549667643,2.0074851721852935,3.0265234614903087
35,,,,1536463,"[0.427001953125, 0.351806640625, 0.92333984375, 2.53515625, 4.62109375, 8.21875, 11.828125, 16.984375, 21.953125]",17.525032562781202,1.9472258403090223,2.8941632415075813
36,,,,1676354,"[0.552734375, 0.33935546875, 0.92333984375, 2.5234375, 4.62109375, 8.09375, 11.953125, 16.859375, 22.078125]",19.37674490495783,2.152971656106426,3.330383123698864
37,,,,1551023,"[0.5654296875, 0.465087890625, 1.048828125, 2.51171875, 4.609375, 8.109375, 11.828125, 16.984375, 22.09375]",18.25909852419998,2.028788724911109,3.0723682259630785
38,,,,265073,"[0.439697265625, 0.4775390625, 1.0361328125, 2.63671875, 4.734375, 7.984375, 11.828125, 17.109375, 22.109375]",18.38958347329468,2.043287052588298,3.1032938307779983
39,,,,594237,"[0.42724609375, 0.4775390625, 1.048828125, 2.51171875, 4.609375, 7.99609375, 11.953125, 17.109375, 22.109375]",18.46577132622374,2.0517523695804156,3.121249436647269
40,2.0,-332.27342316265407,-301.0149322597745,1839405,"[0.1256103515625, 0.01256561279296875, 0.78515625, 2.3671875, 4.72265625, 7.73046875, 11.765625, 16.484375, 21.859375]",17.080613733485887,1.8978459703873207,2.782609620821392
41,,,,1679055,"[0.251220703125, -7.748603820800781e-07, 0.78515625, 2.3671875, 4.7109375, 7.73046875, 11.765625, 16.46875, 21.734375]",17.74908313691901,1.9721203485465564,2.9493341421313124
42,,,,884177,"[0.251220703125, -0.01256561279296875, 0.7724609375, 2.3671875, 4.8359375, 7.7421875, 11.765625, 16.34375, 21.734375]",17.183576641801984,1.9092862935335537,2.80871054836527
43,,,,1203259,"[0.263671875, -0.13818359375, 0.7724609375, 2.2421875, 4.7109375, 7.73046875, 11.640625, 16.328125, 21.859375]",17.777776242514165,1.9753084713904627,2.9563492627221946
44,,,,1258877,"[0.276123046875, -0.1507568359375, 0.64697265625, 2.2421875, 4.8359375, 7.71875, 11.515625, 16.203125, 21.859375]",17.06950761071697,1.8966119567463298,2.779784841398026
45,,,,2903,"[0.1505126953125, -0.2763671875, 0.521484375, 2.1171875, 4.9609375, 7.73046875, 11.5, 16.078125, 21.875]",18.34631869500449,2.038479855000499,3.093064239533211
46,,,,146509,"[0.0248565673828125, -0.288818359375, 0.64697265625, 2.10546875, 5.0859375, 7.73046875, 11.375, 16.0625, 22.0]",18.742158769220637,2.0824620854689595,3.1857710312972105
47,,,,1341816,"[0.03741455078125, -0.288818359375, 0.521484375, 2.23046875, 5.07421875, 7.85546875, 11.375, 16.078125, 21.984375]",20.17710859038758,2.241900954487509,3.5061642187639337
48,,,,1577318,"[0.1630859375, -0.41455078125, 0.395751953125, 2.35546875, 5.0859375, 7.8671875, 11.375, 16.09375, 22.0]",22.713593073122823,2.5237325636803134,4.020433314470564
49,,,,959504,"[0.1630859375, -0.41455078125, 0.38330078125, 2.35546875, 4.9609375, 7.85546875, 11.25, 15.96875, 22.125]",24.2233043455481,2.6914782606164556,4.299908763187353
50,,,,182644,"[0.03741455078125, -0.41455078125, 0.370849609375, 2.3671875, 4.9609375, 7.84375, 11.125, 15.984375, 22.25]",24.43654238379522,2.7151713759772464,4.33797246555562
51,,,,155236,"[-0.0882568359375, -0.427001953125, 0.49658203125, 2.4921875, 4.97265625, 7.83203125, 11.25, 15.984375, 22.234375]",23.07274700670815,2.563638556300906,4.08856794610737
52,,,,176216,"[-0.2138671875, -0.427001953125, 0.484130859375, 2.48046875, 4.9609375, 7.95703125, 11.265625, 16.0, 22.21875]",22.425172581732323,2.491685842414703,3.9649328457359934
53,,,,1394784,"[-0.2012939453125, -0.427001953125, 0.60986328125, 2.46875, 4.94921875, 7.96875, 11.25, 15.984375, 22.34375]",22.5980851037596,2.510898344862178,3.998291304114151
54,,,,705127,"[-0.2138671875, -0.30126953125, 0.484130859375, 2.34375, 4.9609375, 7.95703125, 11.125, 15.859375, 22.34375]",23.810955105869922,2.645661678429992,4.2253430675050465
55,,,,155236,"[-0.339599609375, -0.313720703125, 0.60986328125, 2.46875, 4.97265625, 7.9453125, 11.25, 15.859375, 22.328125]",22.273122787415858,2.4747914208239843,3.9353860181407727
56,,,,74922,"[-0.46533203125, -0.439453125, 0.7353515625, 2.48046875, 5.09765625, 8.0703125, 11.234375, 15.984375, 22.328125]",20.82303321501042,2.31367035722338,3.643014824303431
57,,,,427597,"[-0.477783203125, -0.56494140625, 0.7353515625, 2.46875, 5.22265625, 7.9453125, 11.25, 16.109375, 22.328125]",20.488446838247572,2.276494093138619,3.5726652777373586
58,,,,1713806,"[-0.35205078125, -0.57763671875, 0.86083984375, 2.48046875, 5.22265625, 7.8203125, 11.25, 16.09375, 22.3125]",20.35460958782823,2.26162328753647,3.544202673582392
59,,,,1892635,"[-0.2264404296875, -0.451904296875, 0.84814453125, 2.35546875, 5.234375, 7.80859375, 11.125, 16.09375, 22.1875]",19.767173857663106,2.1963526508514564,3.4170207258260046
60,3.0,-244.05550682117206,-286.7750759001239,146509,"[-0.1256103515625, -0.01256561279296875, 0.91064453125, 2.34375, 4.8359375, 7.85546875, 11.65625, 16.484375, 22.109375]",16.863533654984746,1.873725961664972,2.727060742575511
61,,,,1212444,"[-0.113037109375, -0.13818359375, 0.91064453125, 2.34375, 4.9609375, 7.98046875, 11.65625, 16.5, 22.234375]",17.57244403519835,1.9524937816887058,2.9058965940845076
62,,,,1114140,"[-0.113037109375, -0.01251983642578125, 0.89794921875, 2.33203125, 4.9609375, 7.9921875, 11.53125, 16.515625, 22.109375]",18.27193420037537,2.030214911152819,3.075420131780195
63,,,,1294063,"[-0.1004638671875, -0.02508544921875, 0.89794921875, 2.45703125, 4.8359375, 7.9921875, 11.53125, 16.515625, 22.125]",17.84026234855549,1.9822513720617214,2.9715872713061344
