,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-63.45152220283523,-63.45152220283523,583,"[0.1256103515625, 0.01256561279296875, 2.08203125, 6.29296875]",7.571025014149484,1.892756253537371,2.770946897379565
1,,,,584,"[0.251220703125, 0.0251312255859375, 2.0703125, 6.41796875]",7.999657812319649,1.9999144530799122,3.0101141898901504
2,,,,106,"[0.1256103515625, 0.1507568359375, 2.05859375, 6.40625]",8.195944386299589,2.048986096574897,3.1153901149963925
3,,,,608,"[0.251220703125, 0.2763671875, 2.046875, 6.41796875]",8.606306353255478,2.1515765883138696,3.327568100003004
4,,,,105,"[0.1256103515625, 0.402099609375, 2.03515625, 6.29296875]",8.203527965478557,2.0508819913696392,3.119406715963321
5,,,,12,"[-5.334615707397461e-05, 0.2763671875, 2.03515625, 6.29296875]",7.941255257984672,1.985313814496168,2.978291645661788
6,,,,288,"[-5.334615707397461e-05, 0.263916015625, 2.03515625, 6.3046875]",7.973567052432566,1.9933917631081415,2.995926593808911
7,,,,226,"[-0.0126190185546875, 0.3896484375, 1.9091796875, 6.29296875]",8.690950091148366,2.1727375227870915,3.370072646130549
8,,,,296,"[-0.0126190185546875, 0.377197265625, 2.03515625, 6.28125]",7.92840667683584,1.98210166920896,2.971259272652969
9,,,,608,"[0.113037109375, 0.5029296875, 2.0234375, 6.29296875]",8.282858435610082,2.0707146089025206,3.1612024745958056
10,,,,51,"[-0.01262664794921875, 0.5029296875, 1.8974609375, 6.28125]",8.71357511569003,2.1783937789225076,3.3813638807140305
11,,,,390,"[-6.026029586791992e-05, 0.377197265625, 1.91015625, 6.15625]",8.193977700727258,2.0484944251818145,3.1143478639212914
12,,,,584,"[0.1256103515625, 0.3896484375, 1.8974609375, 6.28125]",8.94561349654612,2.23640337413653,3.4955013882173214
13,,,,193,"[0.113037109375, 0.3896484375, 1.91015625, 6.29296875]",8.89540409535402,2.223851023838505,3.4710569042263675
14,,,,38,"[-0.01262664794921875, 0.377197265625, 1.91015625, 6.3046875]",8.726083544850058,2.1815208862125144,3.38759375344118
15,,,,448,"[-6.026029586791992e-05, 0.377197265625, 2.03515625, 6.31640625]",8.077391788432742,2.0193479471081854,3.0521115722475436
16,,,,557,"[0.1256103515625, 0.377197265625, 2.0234375, 6.31640625]",8.339954475574814,2.0849886188937035,3.1910368867900765
17,,,,67,"[-5.334615707397461e-05, 0.377197265625, 2.03515625, 6.31640625]",8.077403176239724,2.019350794059931,3.052117695088154
