,episode,score,avg_score,action,theta_k,EP(t) [W],PAPR [W],PAPR [dB]
0,0.0,-151.65968558627685,-151.65968558627685,24591,"[-0.01256561279296875, 0.0, 1.1728515625, 3.12890625, 6.29296875, 10.484375, 15.6953125]",13.718813299060653,1.9598304712943788,2.922185057617593
1,,,,47440,"[7.748603820800781e-07, -0.1256103515625, 1.046875, 3.25390625, 6.29296875, 10.5, 15.5703125]",13.155476698002069,1.8793538140002957,2.7400854966028874
2,,,,10263,"[-0.1256103515625, -0.113037109375, 1.0341796875, 3.25390625, 6.16796875, 10.5, 15.5859375]",12.319277906050855,1.7598968437215508,2.4548721240763873
3,,,,41672,"[-0.1256103515625, -0.1004638671875, 1.021484375, 3.265625, 6.15625, 10.625, 15.5859375]",12.428308128865414,1.7754725898379162,2.493139719493608
4,,,,16439,"[-0.13818359375, -0.22607421875, 1.0087890625, 3.25390625, 6.15625, 10.625, 15.7109375]",13.103432492793441,1.8719189275419204,2.7228703559673284
5,,,,65345,"[-0.01251983642578125, -0.351806640625, 1.134765625, 3.25390625, 6.16796875, 10.75, 15.5859375]",15.346244807169212,2.1923206867384586,3.4090408188086925
6,,,,53556,"[4.655122756958008e-05, -0.351806640625, 1.0087890625, 3.265625, 6.16796875, 10.734375, 15.5703125]",14.610553954407361,2.087221993486766,3.195686423664152
7,,,,3483,"[-0.1256103515625, -0.3642578125, 0.88330078125, 3.265625, 6.29296875, 10.71875, 15.5859375]",13.739789104838579,1.96282701497694,2.928820266752294
8,,,,27987,"[-0.13818359375, -0.351806640625, 1.0087890625, 3.27734375, 6.41796875, 10.71875, 15.5859375]",14.137952767493543,2.019707538213363,3.0528848640911455
9,,,,53758,"[-0.1256103515625, -0.351806640625, 0.99609375, 3.15234375, 6.29296875, 10.703125, 15.6015625]",14.975714751885599,2.1393878216979427,3.302895192869673
10,,,,60033,"[-0.113037109375, -0.2261962890625, 0.9833984375, 3.02734375, 6.28125, 10.6875, 15.6171875]",15.121864208612946,2.160266315516135,3.3450729384983062
11,,,,78074,"[0.01262664794921875, -0.10052490234375, 1.109375, 3.15234375, 6.28125, 10.8125, 15.7421875]",14.943851503411377,2.1348359290587684,3.2936450332241423
12,,,,43510,"[0.01262664794921875, -0.08795166015625, 1.2353515625, 3.1640625, 6.15625, 10.8125, 15.6171875]",15.20791778783009,2.1725596839757273,3.3697171610587033
13,,,,76551,"[0.1383056640625, 0.0377197265625, 1.2353515625, 3.1640625, 6.15625, 10.6875, 15.6015625]",14.688115054930462,2.0983021507043516,3.2186802577140377
14,,,,4954,"[0.01264190673828125, 0.025146484375, 1.2353515625, 3.2890625, 6.16796875, 10.5625, 15.7265625]",12.920862251705003,1.845837464529286,2.6619345651341293
15,,,,1105,"[-0.113037109375, -0.10052490234375, 1.22265625, 3.30078125, 6.29296875, 10.546875, 15.6015625]",13.197130966544398,1.8853044237920569,2.7538148658340673
16,,,,45286,"[-0.113037109375, 0.0251312255859375, 1.22265625, 3.30078125, 6.28125, 10.546875, 15.5859375]",12.393443607536234,1.7704919439337476,2.480939549782987
17,,,,16240,"[-0.1256103515625, -0.10052490234375, 1.0966796875, 3.42578125, 6.40625, 10.5625, 15.4609375]",13.263033844082809,1.8947191205832585,2.7754483782809753
18,,,,35480,"[-0.1256103515625, -0.11309814453125, 1.083984375, 3.4375, 6.53125, 10.546875, 15.3359375]",14.935607106631016,2.133658158090145,3.2912484060523277
19,,,,43126,"[-0.1256103515625, -0.10052490234375, 1.2099609375, 3.3125, 6.40625, 10.421875, 15.3203125]",12.860109706527362,1.8371585295039088,2.641466334523475
20,1.0,-212.25677997371358,-181.95823277999523,26141,"[-0.01256561279296875, 0.01256561279296875, 1.0341796875, 3.265625, 6.15625, 10.484375, 15.6953125]",12.04458523162833,1.7206550330897614,2.3569380917551737
21,,,,11526,"[-0.13818359375, 0.0251312255859375, 1.046875, 3.265625, 6.14453125, 10.359375, 15.6796875]",12.32938242183614,1.7613403459765915,2.4584328333687395
22,,,,2172,"[-0.263916015625, -0.10052490234375, 1.0595703125, 3.265625, 6.1328125, 10.484375, 15.6796875]",12.155456025285304,1.7364937178979005,2.3967321650528293
23,,,,38292,"[-0.263916015625, -0.10052490234375, 1.046875, 3.25390625, 6.12109375, 10.5, 15.6796875]",12.07780166653665,1.7254002380766644,2.368898536273134
24,,,,48276,"[-0.25146484375, -0.2261962890625, 1.046875, 3.2421875, 6.109375, 10.375, 15.6640625]",12.07810032249966,1.725442903214237,2.3690059258765426
25,,,,54022,"[-0.2388916015625, -0.2261962890625, 1.0341796875, 3.2421875, 5.984375, 10.5, 15.6640625]",12.249575206264762,1.7499393151806801,2.430229883782175
26,,,,10590,"[-0.364501953125, -0.213623046875, 1.021484375, 3.3671875, 5.99609375, 10.515625, 15.5390625]",13.391331273320551,1.9130473247600788,2.817257136906205
27,,,,10758,"[-0.490234375, -0.2010498046875, 1.021484375, 3.35546875, 5.87109375, 10.5, 15.5546875]",14.630888859358128,2.090126979908304,3.201726712777109
28,,,,35574,"[-0.490234375, -0.213623046875, 1.0087890625, 3.48046875, 5.87109375, 10.625, 15.6796875]",14.629638349119041,2.0899483355884345,3.201355502994825
29,,,,10466,"[-0.61572265625, -0.2010498046875, 0.99609375, 3.4921875, 5.8828125, 10.640625, 15.6640625]",15.48644403257942,2.212349147511346,3.4485366733056173
30,,,,74175,"[-0.489990234375, -0.1884765625, 1.0087890625, 3.50390625, 5.8828125, 10.515625, 15.5390625]",14.905548051031705,2.1293640072902433,3.282499088993849
31,,,,59881,"[-0.4775390625, -0.06280517578125, 0.88330078125, 3.62890625, 5.7578125, 10.5, 15.5234375]",15.975940002907187,2.2822771432724553,3.5836838087347282
32,,,,6846,"[-0.60302734375, -0.06280517578125, 0.7578125, 3.75390625, 5.76953125, 10.625, 15.5078125]",16.955585588029834,2.4222265125756905,3.8421475340732947
33,,,,67537,"[-0.477294921875, -0.07537841796875, 0.7705078125, 3.62890625, 5.7578125, 10.625, 15.5078125]",16.652752280601014,2.37896461151443,3.7638798170169796
34,,,,46772,"[-0.477294921875, 0.05029296875, 0.89599609375, 3.75390625, 5.6328125, 10.75, 15.5078125]",17.067345203311238,2.4381921719016053,3.870679325815183
35,,,,74073,"[-0.3515625, 0.0628662109375, 0.90869140625, 3.75390625, 5.6328125, 10.875, 15.5234375]",17.394859911062184,2.4849799872945977,3.953228955069678
36,,,,31479,"[-0.3515625, -0.06280517578125, 0.783203125, 3.7421875, 5.7578125, 10.75, 15.6484375]",18.65577328934916,2.665110469907023,4.2571521541763815
37,,,,47089,"[-0.339111328125, -0.1884765625, 0.65771484375, 3.73046875, 5.76953125, 10.75, 15.7734375]",20.376367408730907,2.910909629818701,4.640287228279269
38,,,,46048,"[-0.339111328125, -0.06280517578125, 0.67041015625, 3.7421875, 5.7578125, 10.875, 15.7890625]",20.19275989860649,2.8846799855152128,4.600976413276082
39,,,,8433,"[-0.46484375, -0.06280517578125, 0.68310546875, 3.7421875, 5.7578125, 10.859375, 15.8046875]",19.543037180172373,2.7918624543103387,4.458940182471532
40,2.0,-273.87208873301637,-212.59618476433562,59431,"[0.01256561279296875, 0.1256103515625, 0.92138671875, 3.015625, 6.28125, 10.453125, 15.6953125]",14.174675985179256,2.0249537121684655,3.064151002521332
41,,,,21119,"[-7.748603820800781e-07, 0.113037109375, 0.93408203125, 3.02734375, 6.40625, 10.46875, 15.8203125]",15.163876644542235,2.166268092077462,3.357122028456189
42,,,,50866,"[0.01256561279296875, 0.1004638671875, 0.92138671875, 3.015625, 6.53125, 10.484375, 15.8046875]",15.722230903644817,2.246032986234974,3.514161302133421
43,,,,43863,"[0.01256561279296875, 0.22607421875, 0.7958984375, 2.890625, 6.65625, 10.484375, 15.8203125]",17.615958732893624,2.516565533270518,4.008082442373086
