Time [s],P0(t),EP(t) [W],PAPR [W]
0.0,-1.225541853718704,2.548916292562592,0.5097832585125184
0.0001,-1.228846600186063,2.542306799627874,0.5084613599255748
0.0002,-1.2321469779643106,2.535706044071379,0.5071412088142757
0.00030000000000000003,-1.2354429727688285,2.529114054462343,0.5058228108924686
0.0004,-1.2387345703402066,2.5225308593195868,0.5045061718639173
0.0005,-1.2420217564443243,2.5159564871113513,0.5031912974222703
0.0006000000000000001,-1.2453045168724348,2.5093909662551304,0.5018781932510261
0.0007,-1.2485828374412447,2.5028343251175107,0.5005668650235021
0.0008,-1.251856703993007,2.496286592013986,0.4992573184027972
0.0009000000000000001,-1.255126102395596,2.489747795208808,0.49794955904176164
0.001,-1.2583910185426042,2.4832179629147917,0.4966435925829583
0.0011,-1.2616514383534048,2.4766971232931905,0.4953394246586381
0.0012000000000000001,-1.2649073477732586,2.4701853044534827,0.49403706089069654
0.0013000000000000002,-1.2681587327733799,2.4636825344532403,0.4927365068906481
0.0014,-1.2714055793510295,2.457188841297941,0.4914377682595882
0.0015,-1.2746478735295894,2.450704252940821,0.49014085058816426
0.0016,-1.2778856013586544,2.4442287972826913,0.4888457594565383
0.0017000000000000001,-1.281118748914114,2.437762502171772,0.4875525004343544
0.0018000000000000002,-1.2843473022982201,2.4313053954035597,0.4862610790807119
0.0019,-1.2875712476396952,2.4248575047206096,0.4849715009441219
0.002,-1.29079057109379,2.41841885781242,0.483683771562484
0.0021000000000000003,-1.2940052588423803,2.4119894823152395,0.48239789646304787
0.0022,-1.2972152970940418,2.4055694058119164,0.4811138811623833
0.0023,-1.3004206720841354,2.3991586558317293,0.4798317311663458
0.0024000000000000002,-1.30362137007489,2.39275725985022,0.478551451970044
0.0025,-1.306817377355479,2.386365245289042,0.47727304905780843
0.0026000000000000003,-1.3100086802421034,2.3799826395157933,0.4759965279031586
0.0027,-1.3131952650780758,2.3736094698438484,0.4747218939687696
0.0028,-1.3163771182338944,2.3672457635322113,0.4734491527064423
0.0029000000000000002,-1.319554226107338,2.360891547785324,0.47217830955706475
0.003,-1.3227265751235244,2.354546849752951,0.4709093699505902
0.0031000000000000003,-1.3258941517350138,2.3482116965299724,0.4696423393059945
0.0032,-1.3290569424218728,2.3418861151562544,0.46837722303125084
0.0033,-1.3322149336917612,2.3355701326164775,0.4671140265232955
0.0034000000000000002,-1.3353681120800127,2.3292637758399746,0.46585275516799496
0.0035,-1.3385164641497094,2.3229670717005813,0.46459341434011625
0.0036000000000000003,-1.3416599764917718,2.3166800470164564,0.4633360094032912
0.0037,-1.3447986357250192,2.3104027285499615,0.46208054570999235
0.0038,-1.3479324284962755,2.304135143007449,0.46082702860148983
0.0039000000000000003,-1.3510613414804222,2.2978773170391555,0.45957546340783106
0.004,-1.3541853613804955,2.291629277239009,0.4583258554478018
0.0041,-1.3573044749277527,2.2853910501444945,0.4570782100288989
0.004200000000000001,-1.3604186688817608,2.2791626622364785,0.4558325324472957
0.0043,-1.363527930030471,2.272944139939058,0.45458882798781164
0.0044,-1.3666322451902948,2.2667355096194104,0.45334710192388206
0.0045000000000000005,-1.3697316012061813,2.2605367975876374,0.45210735951752745
0.0046,-1.372825984951701,2.254348030096598,0.4508696060193196
0.0047,-1.3759153833291176,2.248169233341765,0.44963384666835293
0.0048000000000000004,-1.378999783269469,2.242000433461062,0.44840008669221243
0.0049,-1.3820791717326415,2.235841656534717,0.44716833130694345
0.005,-1.3851535357074538,2.2296929285850924,0.4459385857170185
0.0051,-1.3882228622117254,2.223554275576549,0.44471085511530983
0.005200000000000001,-1.3912871382923555,2.217425723415289,0.4434851446830578
0.0053,-1.3943463510254048,2.2113072979491903,0.4422614595898381
0.0054,-1.3974004875161645,2.205199024967671,0.44103980499353423
0.0055000000000000005,-1.4004495348992445,2.199100930201511,0.43982018604030215
0.0056,-1.40349348033863,2.19301303932274,0.43860260786454797
0.0057,-1.4065323110277794,2.186935377944441,0.43738707558888823
0.0058000000000000005,-1.4095660141896844,2.180867971620631,0.4361735943241263
0.0059,-1.4125945770769521,2.1748108458460957,0.43496216916921915
0.006,-1.4156179869718768,2.1687640260562464,0.43375280521124926
0.0061,-1.4186362311865204,2.1627275376269592,0.4325455075253919
0.006200000000000001,-1.4216492970627859,2.1567014058744283,0.43134028117488565
0.0063,-1.424657171972488,2.150685656055024,0.4301371312110047
0.0064,-1.4276598433174323,2.1446803133651353,0.4289360626730271
0.006500000000000001,-1.4306572985294859,2.1386854029410283,0.4277370805882057
0.0066,-1.4336495250706578,2.1327009498586844,0.4265401899717369
0.0067,-1.4366365104331646,2.1267269791336707,0.42534539582673414
0.0068000000000000005,-1.4396182421395132,2.1207635157209737,0.42415270314419473
0.006900000000000001,-1.44259470774257,2.11481058451486,0.42296211690297203
0.007,-1.4455658948256356,2.108868210348729,0.42177364206974577
0.0071,-1.4485317910025128,2.1029364179949743,0.4205872835989949
0.007200000000000001,-1.4514923839175908,2.0970152321648183,0.41940304643296367
0.0073,-1.4544476612459056,2.0911046775081887,0.41822093550163775
0.0074,-1.4573976106932287,2.0852047786135426,0.4170409557227085
0.007500000000000001,-1.4603422199961176,2.079315560007765,0.415863112001553
0.0076,-1.4632814769220146,2.073437046155971,0.4146874092311942
0.0077,-1.4662153692692952,2.0675692614614096,0.4135138522922819
0.0078000000000000005,-1.469143884867356,2.061712230265288,0.4123424460530576
0.0079,-1.472067011576678,2.055865976846644,0.4111731953693287
0.008,-1.474984737288902,2.050030525422196,0.41000610508443924
0.0081,-1.4778970499269044,2.044205900146191,0.4088411800292382
